city,lat,lng
Chimacum,48.0109,-122.7688
Naselle,46.365,-123.8013
Grotto,47.7362,-121.4234
Sunrise Beach,47.3234,-122.6979
Bellingham,48.7543,-122.4687
Castle Rock,46.2718,-122.9057
Pine City,47.2024,-117.5244
Nooksack,48.9276,-122.3212
Elma,47.0074,-123.4055
Kenmore,47.7532,-122.2459
Ellensburg,46.9994,-120.547
Belmont,47.0879,-117.1624
DuPont,47.1079,-122.6496
Long Beach,46.3559,-124.0557
Seabeck,47.6437,-122.8219
Granite Falls,48.0874,-121.9704
Tonasket,48.708,-119.4417
Otis Orchards,47.7005,-117.1063
Milton,47.2522,-122.3154
West Pasco,46.2497,-119.1684
Badger,46.2001,-119.3595
Lamont,47.2007,-117.9049
Ravensdale,47.3563,-121.9692
Rollingbay,47.6645,-122.5101
Rocky Point,47.5875,-122.6665
Garrett,46.0633,-118.3876
Palouse,46.9103,-117.0751
Grayland,46.8304,-124.0898
Gilberton,47.639,-122.6049
Withrow,47.7049,-119.8087
Stanwood,48.2448,-122.3431
Ayer,46.5963,-118.3483
Sudden Valley,48.7199,-122.3468
Meridian,47.6695,-122.3304
Aberdeen Gardens,47.0587,-123.7791
Possession,47.9176,-122.3762
Benton City,46.2624,-119.4814
Bickleton,46.0056,-120.3081
Elmer City,48,-118.9534
Doty,46.6345,-123.2776
East Wenatchee,47.4172,-120.2809
Newman Lake,47.7768,-117.0949
Freeland,48.0185,-122.5358
Indianola,47.7566,-122.5142
Cowiche,46.6729,-120.7154
Husum,45.7993,-121.487
Alderdale,45.8349,-119.9209
Lamona,47.3593,-118.4825
Skokomish,47.3298,-123.1579
Vaughn,47.355,-122.7773
Ruby,48.5221,-117.2991
Bryant,48.24,-122.1638
Coalfield,47.5026,-122.1218
Swede Heaven,48.2829,-121.7136
Spokane,47.6671,-117.433
Brady,47.0064,-123.5321
Spring Glen,47.5612,-121.8615
Hoodsport,47.402,-123.1542
Leavenworth,47.5948,-120.6633
Tanglewilde,47.0512,-122.7809
Bow,48.5618,-122.3982
Carlsborg,48.0842,-123.1697
North Lynnwood,47.8533,-122.2762
Cedar Falls,47.4254,-121.7768
Chelan,47.8417,-120.027
Wilson Creek,47.423,-119.1176
Latah,47.2822,-117.1557
Brownsville,47.6557,-122.6165
Amber,47.3518,-117.7116
Zenith,47.3865,-122.3232
Goodnoe Hills,45.7512,-120.4803
Camas,45.6003,-122.4306
Olalla,47.4293,-122.5457
Basin City,46.5891,-119.1567
Blaine,48.9839,-122.7414
Oroville,48.9421,-119.4304
Orchards,45.6888,-122.5305
Union Gap,46.5567,-120.4969
Mead,47.7795,-117.35
Manzanita,47.6762,-122.5596
Pasco,46.2503,-119.1298
Touchet,46.0412,-118.6724
Pe Ell,46.5712,-123.2982
Baring,47.7661,-121.4803
Sappho,48.0701,-124.2794
Hunters,48.1168,-118.2019
Gleed,46.6594,-120.6025
Fairfield,47.3848,-117.1748
Torboy,48.6772,-118.6689
Cashmere,47.5175,-120.4671
Willapa,46.6755,-123.6648
Issaquah,47.5421,-122.0445
